ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
237,Naranj Damascus Restaurant,26.2991798,50.1808875,restaurant,4.2,6648,OPERATIONAL
238,Fatte w Snobar,26.3046399,50.1803997,restaurant,4.2,15307,OPERATIONAL
239,Burger Site,26.2991541,50.1758146,restaurant,4.3,7191,OPERATIONAL
240,The Peak,26.307669,50.1806854,restaurant,4.5,7562,OPERATIONAL
241,Kokoro,26.3050826,50.1783032,restaurant,4.6,2242,OPERATIONAL
242,PICKUP Burger,26.2981886,50.17803920000001,restaurant,4.6,1017,OPERATIONAL
243,قصدير | Qasder,26.2990274,50.179080000000006,restaurant,4.2,661,OPERATIONAL
244,Boofiya Omar,26.303219,50.1761646,restaurant,4.4,589,OPERATIONAL
245,ILFIGO,26.305891,50.1836176,restaurant,4.1,2400,OPERATIONAL
246,Public,26.3082444,50.1780493,restaurant,4.7,1677,OPERATIONAL
247,كاس جبن,26.2988103,50.1792869,restaurant,4.4,948,OPERATIONAL
248,مطعم بخاري نص سفري الخبر,26.2992754,50.1790671,restaurant,4.6,877,OPERATIONAL
249,Farrouj Abu Alabed,26.2992347,50.1790802,restaurant,4,745,OPERATIONAL
250,McDonald's,26.305235,50.196319,restaurant,3.8,3797,OPERATIONAL
251,And Salad,26.3030911,50.2017035,restaurant,4.3,2480,OPERATIONAL
252,Wdh Tea,26.2986807,50.2192123,restaurant,4.3,1487,OPERATIONAL
253,Belad Al-Sham,26.2971167,50.2158263,restaurant,4.3,8424,OPERATIONAL
254,KOY & BAKERY HOUSE,26.3041815,50.21124770000001,restaurant,4.4,3017,OPERATIONAL
255,The Pantry Restaurant,26.3090409,50.2148706,restaurant,4.4,3515,OPERATIONAL
256,Sucre de Nada - سكر الندى,26.3149684,50.2124578,restaurant,4,931,OPERATIONAL
257,Ayyash,26.2964827,50.218743,restaurant,4.3,2514,OPERATIONAL
258,Oi,26.3003454,50.2199405,restaurant,4,2339,OPERATIONAL
259,Moma’s Garden,26.2994615,50.2157958,restaurant,4.7,1381,OPERATIONAL
260,باست,26.2973475,50.2145835,restaurant,4.5,1097,OPERATIONAL
261,OffTheEarth,26.3119351,50.2171357,restaurant,4.5,968,OPERATIONAL
262,Sandwich Faqeer,26.3121287,50.21759360000001,restaurant,3.5,1451,OPERATIONAL
263,OMYO BURGER اوميو همبرجر,26.2987212,50.2101751,restaurant,4.5,863,OPERATIONAL
264,Damascus Gate Restaurant,26.297071,50.215251,restaurant,4.1,4147,OPERATIONAL
265,Nakhat Alsharq,26.3021987,50.21111930000001,restaurant,4.1,3972,OPERATIONAL
266,PlCKUP Burger,26.3078981,50.2240548,restaurant,4.6,1978,OPERATIONAL
267,Lumee,26.30706,50.2250122,restaurant,4.6,3324,OPERATIONAL
268,Wahmy Burger,26.3047244,50.2233204,restaurant,4.4,3170,OPERATIONAL
269,Swiss Butter - Corniche Park,26.3072859,50.2249457,restaurant,4.6,2048,OPERATIONAL
270,ARCHI,26.3094536,50.2224032,restaurant,4,1415,OPERATIONAL
271,La Gioia Restaurant | مطعم لاجويا,26.3093101,50.2210517,restaurant,4.2,1259,OPERATIONAL
272,بوفية راس السعادة,26.3305533,49.982676,restaurant,3.9,40,OPERATIONAL
273,النكهة المفحمة (شاورما ومعجنات),26.3306608,49.9827843,restaurant,3.3,21,OPERATIONAL
274,Nouf food truck,26.321591,49.9920295,restaurant,4.9,8,OPERATIONAL
275,مطعم المضغوط الماسي,26.3292747,50.0041779,restaurant,4,211,OPERATIONAL
276,مطعم فجر الشام,26.329401,50.0044975,restaurant,3.9,248,OPERATIONAL
277,بروستد ركن الدوك,26.3292861,50.0042383,restaurant,4.3,110,OPERATIONAL
278,مناقيش وفلافل العروبة لتقديم الوجبات,26.3333848,50.0099192,restaurant,4.4,65,OPERATIONAL
279,مطعم برندة الخليج,26.3332982,50.0101602,restaurant,4.3,36,OPERATIONAL
280,مطاعم موج الشرقية البخاري,26.3333075,50.0095611,restaurant,3.2,61,OPERATIONAL
281,Tim Hortons,26.3209034,50.0215424,restaurant,4.2,91,OPERATIONAL
282,فوال نور الصباح,26.3329362,50.0091422,restaurant,3,43,OPERATIONAL
283,مطعم ملتقى الأسطوره للاكلات الشعبية,26.329272,50.0045786,restaurant,4.1,31,OPERATIONAL
284,Hospital Restaurant,26.3216058,50.0217662,restaurant,3.5,19,OPERATIONAL
285,كاسبن Kasbon,26.3210339,50.0222064,restaurant,2.5,28,OPERATIONAL
286,بوفيه أنوار دمشق للفلافل وعصائر,26.3319771,50.0023394,restaurant,4.5,30,OPERATIONAL
287,Anjar Restaurant مطعم عنجر للمعجنات والشاورما,26.321659800000003,50.0186865,restaurant,3.8,20,OPERATIONAL
288,الميز,26.3232932,50.0197512,restaurant,3.2,20,OPERATIONAL
289,مطعم فرن الشباب البخاري,26.331862200000003,50.0024194,restaurant,2.6,28,OPERATIONAL
290,مطعم ملوح ومعصوب,26.3333589,50.0099437,restaurant,4.4,25,OPERATIONAL
291,Mess Hall - صالة الطعام,26.323218800000003,50.0151744,restaurant,5,1,OPERATIONAL
292,بلوفات 2 BLUFAT,26.3213021,50.01825900000001,restaurant,No rating,No reviews,OPERATIONAL
293,باست ارامكو,26.3275478,50.109366,restaurant,5,1,OPERATIONAL
294,Abo Azoz بوعزوز,26.3159286,50.131614,restaurant,3.1,49,OPERATIONAL
295,Munirah Dining Hall,26.3161276,50.129308,restaurant,3,4,OPERATIONAL
296,سلم ان لايت Slim ‘n Lite,26.3154518,50.1315606,restaurant,5,16,OPERATIONAL
297,واحد فلافل المنيرة Wahed Falafel Muneera,26.315843,50.1316499,restaurant,4.6,25,OPERATIONAL
