Unnamed: 0,main_id,gid,level,area,population_count,population_male_count,population_female_count,population_density_km2,median_age,male_median_age,female_medium_age,geometry_region,geometry,centroid,inside_city
61694,730979,12341434241231,14,400 meters x 400 meters,411,244.0,167.0,2568.8,26,29.0,24.0,"[[[50.137112879582475, 26.178177133488216], [50.14070614071895, 26.178177133488216], [50.14070614071895, 26.174952401238233], [50.137112879582475, 26.174952401238233], [50.137112879582475, 26.178177133488216]]]","POLYGON ((50.137112879582475 26.178177133488216, 50.14070614071895 26.178177133488216, 50.14070614071895 26.174952401238233, 50.137112879582475 26.174952401238233, 50.137112879582475 26.178177133488216))",POINT (50.13890951015071 26.17656476736322),True
61699,731848,12341432144241,14,400 meters x 400 meters,646,362.0,284.0,4037.5,26,27.0,26.0,"[[[50.05806113457996, 26.358619520983073], [50.06165439571644, 26.358619520983073], [50.06165439571644, 26.355399796848463], [50.05806113457996, 26.355399796848463], [50.05806113457996, 26.358619520983073]]]","POLYGON ((50.05806113457996 26.358619520983073, 50.06165439571644 26.358619520983073, 50.06165439571644 26.355399796848463, 50.05806113457996 26.355399796848463, 50.05806113457996 26.358619520983073))",POINT (50.0598577651482 26.357009658915768),True
61700,731852,12341434241424,14,400 meters x 400 meters,121,74.0,47.0,756.3,23,24.0,20.0,"[[[50.14789266299191, 26.16850266911435], [50.15148592412839, 26.16850266911435], [50.15148592412839, 26.165277669255957], [50.14789266299191, 26.165277669255957], [50.14789266299191, 26.16850266911435]]]","POLYGON ((50.14789266299191 26.16850266911435, 50.15148592412839 26.16850266911435, 50.15148592412839 26.165277669255957, 50.14789266299191 26.165277669255957, 50.14789266299191 26.16850266911435))",POINT (50.14968929356014 26.16689016918515),True
61701,731853,12341414433241,14,400 meters x 400 meters,754,427.0,327.0,4712.5,30,31.0,28.0,"[[[50.08680722367178, 26.461603316313195], [50.09040048480826, 26.461603316313195], [50.09040048480826, 26.45838646477532], [50.08680722367178, 26.45838646477532], [50.08680722367178, 26.461603316313195]]]","POLYGON ((50.08680722367178 26.461603316313195, 50.09040048480826 26.461603316313195, 50.09040048480826 26.45838646477532, 50.08680722367178 26.45838646477532, 50.08680722367178 26.461603316313195))",POINT (50.08860385424002 26.45999489054426),True
61749,726446,12341432123414,14,400 meters x 400 meters,1078,584.0,494.0,6737.5,27,27.0,26.0,"[[[50.02572178435165, 26.40046777379506], [50.02931504548813, 26.40046777379506], [50.02931504548813, 26.39724921570795], [50.02572178435165, 26.39724921570795], [50.02572178435165, 26.40046777379506]]]","POLYGON ((50.02572178435165 26.40046777379506, 50.02931504548813 26.40046777379506, 50.02931504548813 26.39724921570795, 50.02572178435165 26.39724921570795, 50.02572178435165 26.40046777379506))",POINT (50.027518414919896 26.398858494751504),True
61750,726451,12341432112444,14,400 meters x 400 meters,701,393.0,308.0,4381.3,24,25.0,22.0,"[[[50.00416221753279, 26.41977723730881], [50.00775547866927, 26.41977723730881], [50.00775547866927, 26.41655921783393], [50.00416221753279, 26.41655921783393], [50.00416221753279, 26.41977723730881]]]","POLYGON ((50.00416221753279 26.41977723730881, 50.00775547866927 26.41977723730881, 50.00775547866927 26.41655921783393, 50.00416221753279 26.41655921783393, 50.00416221753279 26.41977723730881))",POINT (50.00595884810103 26.41816822757137),True
61789,727387,12341414432224,14,400 meters x 400 meters,67,35.0,32.0,418.8,30,30.0,30.0,"[[[50.11914657390008, 26.490550933975562], [50.12273983503656, 26.490550933975562], [50.12273983503656, 26.48733489176486], [50.11914657390008, 26.48733489176486], [50.11914657390008, 26.490550933975562]]]","POLYGON ((50.11914657390008 26.490550933975562, 50.12273983503656 26.490550933975562, 50.12273983503656 26.48733489176486, 50.11914657390008 26.48733489176486, 50.11914657390008 26.490550933975562))",POINT (50.12094320446832 26.488942912870208),True
61790,727393,12341441331322,14,400 meters x 400 meters,4403,4073.0,330.0,27518.8,35,35.0,28.0,"[[[50.191011796629645, 26.27487757970552], [50.19460505776612, 26.27487757970552], [50.19460505776612, 26.271655527368292], [50.191011796629645, 26.271655527368292], [50.191011796629645, 26.27487757970552]]]","POLYGON ((50.191011796629645 26.27487757970552, 50.19460505776612 26.27487757970552, 50.19460505776612 26.271655527368292, 50.191011796629645 26.271655527368292, 50.191011796629645 26.27487757970552))",POINT (50.192808427197875 26.273266553536907),True
61791,727394,12341441313233,14,400 meters x 400 meters,649,377.0,272.0,4056.3,34,34.0,34.0,"[[[50.19460505776612, 26.303872024562835], [50.1981983189026, 26.303872024562835], [50.1981983189026, 26.300650777553553], [50.19460505776612, 26.300650777553553], [50.19460505776612, 26.303872024562835]]]","POLYGON ((50.19460505776612 26.303872024562835, 50.1981983189026 26.303872024562835, 50.1981983189026 26.300650777553553, 50.19460505776612 26.300650777553553, 50.19460505776612 26.303872024562835))",POINT (50.19640168833436 26.302261401058196),True
61808,726966,12341432233124,14,400 meters x 400 meters,1040,528.0,512.0,6500.0,23,22.0,23.0,"[[[50.076027440262344, 26.36183915546771], [50.079620701398824, 26.36183915546771], [50.079620701398824, 26.358619520983073], [50.076027440262344, 26.358619520983073], [50.076027440262344, 26.36183915546771]]]","POLYGON ((50.076027440262344 26.36183915546771, 50.079620701398824 26.36183915546771, 50.079620701398824 26.358619520983073, 50.076027440262344 26.358619520983073, 50.076027440262344 26.36183915546771))",POINT (50.07782407083058 26.360229338225395),True
