Business ID,District,City,Latitude,Longitude,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Business Type
128,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Canton,26.388644,50.178215,Cantonese Restaurant,,0.5999440698505422,Restaurant
129,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Tako Hut,26.388598,50.178168,Mexican Restaurant,,0.2584180053651513,Restaurant
130,Al Fanar Dist.,Dammam,26.4049851,50.1959908,ش.م.ل,26.388337,50.178296,Lebanese Restaurant,,0.6228340013878964,Restaurant
131,Al Fanar Dist.,Dammam,26.4049851,50.1959908,كودو,26.386339,50.178316,Fast Food Restaurant,,0.9939616153455758,Restaurant
132,Al Fanar Dist.,Dammam,26.4049851,50.1959908,كودو,26.386242,50.178041,Fast Food Restaurant,,0.8843074501030564,Restaurant
133,Al Fanar Dist.,Dammam,26.4049851,50.1959908,Shawayat Sahari,26.415074,50.170322,Middle Eastern Restaurant,,0.8472899771100685,Restaurant
134,Al Fanar Dist.,Dammam,26.4049851,50.1959908,شواية صحاري,26.414951,50.170118,Restaurant,,0.963210390578877,Restaurant
135,Al Fanar Dist.,Dammam,26.4049851,50.1959908,هرفي,26.415228,50.169927,Fast Food Restaurant,,0.080497985478876,Restaurant
136,Al Athir Dist.,Dammam,26.4367416,50.0607492,Ruchi Restaurant,26.441967,50.063013,Indian Restaurant,8.7,0.9897668541362415,Restaurant
137,Al Athir Dist.,Dammam,26.4367416,50.0607492,McDonald's (ماكدونالدز),26.441231,50.065103,Burger Joint,8.5,0.9819677055174056,Restaurant
138,Al Athir Dist.,Dammam,26.4367416,50.0607492,سد مأرب,26.441548,50.074966,Restaurant,8.7,0.9967891951237196,Restaurant
139,Al Athir Dist.,Dammam,26.4367416,50.0607492,Pickles (بيكلز),26.455948,50.061864,Burger Joint,8.9,0.9646293591854912,Restaurant
140,Al Athir Dist.,Dammam,26.4367416,50.0607492,مطاعم أبو هلال,26.423773,50.080134,Falafel Restaurant,9.1,0.9919729878092988,Restaurant
141,Al Athir Dist.,Dammam,26.4367416,50.0607492,بروستد الطازج,26.434498,50.08553,Fried Chicken Joint,9.2,0.9946555634962558,Restaurant
142,Al Athir Dist.,Dammam,26.4367416,50.0607492,Baskin Robbins (باسكن روبنز),26.4308,50.078219,Ice Cream Parlor,8.5,0.9626925188246382,Restaurant
143,Al Athir Dist.,Dammam,26.4367416,50.0607492,Baskin Robbins (باسكن روبنز),26.425378,50.070653,Ice Cream Parlor,8.2,0.991776196542688,Restaurant
144,Al Athir Dist.,Dammam,26.4367416,50.0607492,Alrazi Broasted (بروستد الرازي),26.420721,50.073482,Fried Chicken Joint,8.7,0.9850749360428384,Restaurant
145,Al Athir Dist.,Dammam,26.4367416,50.0607492,سد مأرب | مأكولات يمنية,26.44147,50.073862,Halal Restaurant,8.1,0.9885861065365772,Restaurant
