POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Matched Population,Population Within 1km
Kefaf (كفاف),26.495487,50.132631,Coffee Shop,7.8,0.9594817139483578,278.0,4070
زين,26.456455,50.129331,Coffee Shop,6.3,0.9752043004070472,879.0,16377
Perfect Coffee,26.47489,50.125242,Café,,0.4629048462438762,184.0,11563
حلويات سعد الدين,26.471884,50.12435,Coffee Shop,,0.9410454794974572,165.0,11741
القهوه المثاليه,26.474997,50.125272,Coffee Shop,,0.952086505297828,184.0,11563
La Mode Coffe,26.467689,50.113884,Café,,0.1224455975722172,,6024
La’Abeille Caffee,26.467998,50.121348,Coffee Shop,,0.9585806170959824,614.0,11841
Pronto,26.478703,50.124947,Café,,0.9924494298231986,385.0,11594
Thermocup (ثيرموكب),26.370711,50.054375,Coffee Shop,8.9,0.9718795637448342,249.0,27938
Piccolo (پكلو),26.390649,50.036907,Coffee Shop,9.4,0.9984463847372836,,18004
ADAM (ادم),26.370354,50.05709,Coffee Shop,9.0,0.983200240292494,1244.0,30346
Zelebrity Cafe,26.378192,50.058436,Coffee Shop,9.3,0.9972863520077888,963.0,18719
Dazzling Cafe (دازلنق كافيه),26.391126,50.038872,Café,9.2,0.995846668531005,59.0,17557
Moroccan Taste (المذاق المغربي),26.360928,50.044353,Coffee Shop,8.2,0.997835296067282,1270.0,33144
The Coffee Lab (مختبر القهوة),26.384123,50.054619,Coffee Shop,8.9,0.9980320873338926,1364.0,14994
3 Gram (٣ جرام),26.350862,50.040623,Coffee Shop,8.8,0.9942101937876104,1314.0,30010
Starbucks (ستاربكس),26.391992,50.037006,Coffee Shop,8.9,0.9992853369791505,59.0,21149
بيت الكرك,26.392409,50.031289,Café,9.0,0.9999454885474416,687.0,22175
Tim Hortons (تيم هورتنز),26.390998,50.039098,Coffee Shop,8.7,0.9971206330464324,59.0,17557
Boho Specialty Coffee (مقهى بوهو للقهوة المختصة),26.390437,50.038466,Coffee Shop,8.7,0.9954841583030378,,17259
Starbucks (ستاربكس),26.391323,50.047295,Coffee Shop,9.0,0.9954945157381226,48.0,11285
UMQ COFFEE (قهوة عُمق),26.347979,50.049508,Coffee Shop,9.5,0.9998860682140674,592.0,27345
Starbucks (ستاربكس),26.356493,50.015745,Coffee Shop,9.0,0.9998637468174614,,873
ستاربكس,26.377213,50.041764,Coffee Shop,7.8,0.9764782649224746,1168.0,19845
Arabia Cafe (ارابيا كافيه),26.396395,50.042434,Coffee Shop,9.3,0.982744513148764,241.0,22722
Chemistry Coffee (كيمستري كوفي),26.345615,50.046554,Coffee Shop,9.1,0.9986224611337248,711.0,24023
ستاربكس,26.345684,50.046775,Coffee Shop,8.9,0.987902515820982,711.0,24023
Kafeena (كافينا),26.378439,50.04884,Coffee Shop,8.0,0.9919108431987904,691.0,19495
قهوة الطريق,26.376112,50.046317,Café,7.7,0.9913308268340428,1417.0,18967
Patchi Café,26.391421,50.038953,Café,8.2,0.9804140902546892,59.0,17557
Dunkin’ Donuts Drive-Through,26.350529,50.018764,Coffee Shop,8.5,0.9999057119833198,,471
ستاربكس,26.38441,50.031037,Coffee Shop,7.9,0.9875162411426842,264.0,11313
Tutti Cafe (أنواع القهوة),26.390575,50.039118,Café,8.2,0.9940548322613388,,15916
Crépe & Dip,26.390482,50.03855,Café,8.1,0.989570062869631,,17259
